long_term_incentive,expenses,exercised_stock_options,from_messages,salary,director_fees,total_payments,restricted_stock,from_poi_to_this_person,from_this_person_to_poi,total_stock_value,bonus,restricted_stock_deferred,loan_advances,shared_receipt_with_poi,other,deferred_income,deferral_payments,to_messages,poi
604575.4824790948,94299.0,68924.44712067954,29.0,365788.0,38986.05698911255,1061827.0,585062.0,38.0,1.0,585062.0,600000.0,-193872.09013353253,384015.2868188145,702.0,1740.0,-281517.31481292605,664928.9238083437,807.0,0
1586055.0,11200.0,6680544.0,205.90538320554802,267102.0,-145258.7835039036,5634343.0,3942714.0,48.4706000076059,27.978070301741326,10623258.0,1200000.0,-940898.9659866084,-1667852.7070466415,1102.1131495810018,2660303.0,-1386055.0,1295738.0,1862.3952260720544,0
709021.0056923495,78552.0,4890344.0,353.54002762361284,170941.0,-31622.031204690807,211725.0,1788391.0,21.31831221248556,35.51165738889076,6678735.0,350000.0,-652381.8399754837,-3087491.455606828,769.865003572575,12961.0,-400729.0,299473.82350268814,1658.3261086107232,0
652052.2884969295,55029.79630251219,651850.0,12.0,254564.80473895278,72785.47242204694,2620577.118076683,386335.0,10.0,0.0,1038185.0,1025666.0534348846,-109153.57900851886,1389208.6612135777,58.0,323481.41058776015,-604874.723259826,760233.2774663671,764.0,0
1617011.0,34039.0,5538001.0,32.0,243293.0,148341.9966369711,288682.0,853064.0,32.0,21.0,6391065.0,1500000.0,-946394.1185586904,-6507245.341887676,1035.0,11350.0,-3117011.0,2065933.5449066833,1045.0,1
591653.6574939784,35018.0,122152.97000061767,584.6774685110333,267093.0,-16462.82069026222,628522.0,208510.0,34.764500597507585,11.183414259127659,208510.0,325000.0,-152839.47876979108,394170.4704439128,662.636148163584,1411.0,-117107.41495346371,545977.6683968846,1354.6436714576557,0
616780.3195278981,54057.618410633244,493489.0,28.0,258842.71842148574,101435.9546598559,1848227.0,462384.0,0.0,0.0,955873.0,1218663.1308393932,-386049.6165543359,-1058643.7788923269,22.0,-110006.54197562858,-1731628.3732203282,1848227.0,232.0,0
694862.0,137108.0,1104054.0,48.0,370448.0,390032.82362006186,4099771.0,558801.0,58.0,26.0,1662855.0,2600000.0,-47092.73876854696,1787623.618243536,2228.0,297353.0,-1100662.231749709,1120060.1059732365,2355.0,0
983346.0,76169.0,608750.0,1941.0,374125.0,126610.3318116533,3859065.0,524169.0,180.0,61.0,803094.0,1150000.0,-329825.0,1457116.9379748285,1847.0,52382.0,-934484.0,2157527.0,4009.0,0
636012.9578925506,43057.0,880290.0,222.0,197091.0,94747.60980220267,1737629.0,409554.0,61.0,48.0,880290.0,400000.0,-409554.0,809618.4751616389,742.0,778.0,-33333.0,1130036.0,1238.0,0
