,ANCSTRY1,ANCSTRY2,RLABOR,WWII,WEEK89
0,999,999,3,0,28
1,999,999,0,0,0
2,50,999,1,0,52
3,32,22,6,0,52
4,50,32,1,0,26
5,50,32,1,0,40
6,939,999,3,0,48
7,148,999,1,0,52
8,935,999,1,0,49
9,999,999,1,0,52
10,999,999,1,0,36
11,999,999,0,0,0
12,999,999,0,0,0
13,50,999,1,0,46
14,32,999,1,0,52
15,50,999,1,0,52
16,50,999,1,0,52
17,22,999,6,0,0
18,22,999,1,0,52
19,22,999,1,0,52
20,22,999,1,0,20
21,22,999,6,0,0
22,999,999,6,0,0
23,999,999,4,0,52
24,999,999,6,0,40
25,999,999,0,0,0
26,939,999,3,0,40
27,939,999,3,0,0
28,939,999,6,0,0
29,87,999,1,0,52
30,87,999,6,0,0
31,87,999,0,0,0
32,87,999,0,0,0
33,32,999,6,1,40
34,999,999,6,0,0
35,920,999,1,0,52
36,32,999,1,0,52
37,939,999,1,0,52
38,939,999,0,0,0
39,50,999,3,0,31
40,940,999,6,1,0
41,940,999,6,0,0
42,900,999,6,0,0
43,900,999,1,0,52
44,900,999,6,0,0
45,900,999,1,0,50
46,900,999,1,0,12
47,900,999,6,0,0
48,999,999,1,0,52
49,26,999,6,0,0
50,999,999,1,0,52
51,999,999,1,0,42
52,999,999,6,0,20
53,999,999,6,0,0
54,939,999,6,0,0
55,939,999,6,0,0
56,939,999,3,0,48
57,50,999,6,0,0
58,50,999,1,0,52
59,50,999,0,0,0
60,50,999,0,0,0
61,22,999,1,0,52
62,22,999,0,0,0
63,22,999,0,0,0
64,939,999,1,0,52
65,920,999,6,0,0
66,21,50,1,0,52
67,21,50,1,0,52
68,32,999,0,0,0
69,32,999,0,0,0
70,920,999,1,0,50
71,900,999,1,0,52
72,900,999,0,0,0
73,900,999,2,0,36
74,900,999,1,0,40
75,900,999,0,0,0
76,900,999,1,0,44
77,900,999,1,0,44
78,900,999,6,0,52
79,900,999,6,0,52
80,900,999,0,0,0
81,900,999,0,0,0
82,900,999,0,0,0
83,900,999,0,0,0
84,900,999,0,0,0
85,900,999,6,0,0
86,900,999,3,0,50
87,32,999,1,0,52
88,21,50,6,0,0
89,21,50,0,0,0
90,21,50,0,0,0
91,21,50,0,0,0
92,21,50,0,0,0
