household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,17000,24300,32100,43400,43400,54400,67400,121600
1,1980,0,16600,23600,31300,42300,42300,53200,65700,119600
1,1981,0,16400,23500,31300,42500,42500,53300,66300,120900
1,1982,0,16100,23400,31500,43400,43400,55100,68100,126800
1,1983,0,15700,23300,31800,44300,44300,56500,71000,134600
1,1984,0,16500,24400,33500,46800,46800,60300,76000,145500
1,1985,0,16500,24400,33600,46900,46900,60500,76500,150700
1,1986,0,16700,25000,34500,48600,48600,62800,81000,173500
1,1987,0,16300,25100,35200,49200,49200,63000,79300,156900
1,1988,0,16800,25600,35600,49900,49900,64400,81600,167400
1,1989,0,17300,25900,36000,50600,50600,65300,83400,170800
1,1990,0,17800,26200,36100,50300,50300,64700,82700,164800
1,1991,0,18000,26200,35900,49700,49700,64100,81300,160800
1,1992,0,18200,26600,36400,50400,50400,65200,83500,168100
1,1993,0,18500,26800,36600,50900,50900,65600,83600,162300
1,1994,0,18800,27100,37100,51500,51500,66500,84800,163600
1,1995,0,19700,28200,38100,52900,52900,68400,88000,175300
1,1996,0,19800,28400,38900,54000,54000,70500,91000,184700
1,1997,0,20300,29100,39500,55500,55500,72800,95600,198500
1,1998,0,21400,30500,41400,57900,57900,76200,100500,213700
1,1999,0,21900,31300,42500,59600,59600,78600,103600,227300
1,2000,0,22000,31800,43300,60900,60900,80700,107100,236700
1,2001,0,22500,32500,44000,61600,61600,80200,105000,217300
1,2002,0,22700,32300,43700,61000,61000,79600,103300,210200
1,2003,0,22900,32900,44400,62700,62700,81800,106700,216800
1,2004,0,23600,33800,45600,64400,64400,84500,110300,236300
1,2005,0,24000,34100,46400,65500,65500,87200,116200,261000
1,2006,0,24200,34700,47300,67300,67300,89800,120100,276600
1,2007,0,25400,35900,48800,69000,69000,92100,123700,287700
1,2008,0,25900,36300,48900,68500,68500,90500,119200,258400
1,2009,0,25700,36000,48500,68000,68000,89100,115700,228700
1,2010,0,25700,35900,48300,67500,67500,89100,116300,239400
1,2011,0,25700,35700,48100,68100,68100,90500,118700,246500
1,2012,0,25300,35600,48100,68500,68500,91600,121300,267800
1,2013,0,25700,35700,48400,68600,68600,91800,121200,255200
1,2014,0,26500,36500,49100,70000,70000,93400,124600,266600
1,2015,0,28000,38200,51100,72300,72300,96700,128600,276900
1,2016,0,28400,38600,51300,72700,72700,97500,129000,271300
2,1979,0,24000,34400,45400,61300,61300,76900,95400,172000
2,1980,0,23400,33400,44200,59800,59800,75200,93000,169100
2,1981,0,23100,33300,44300,60100,60100,75400,93800,171000
2,1982,0,22800,33100,44500,61400,61400,78000,96300,179300
2,1983,0,22200,32900,45000,62600,62600,80000,100400,190400
2,1984,0,23400,34500,47300,66200,66200,85300,107500,205700
2,1985,0,23400,34600,47600,66300,66300,85500,108200,213100
2,1986,0,23600,35400,48800,68700,68700,88800,114600,245400
2,1987,0,23100,35600,49700,69500,69500,89000,112200,222000
2,1988,0,23700,36200,50300,70600,70600,91100,115500,236700
2,1989,0,24400,36700,50900,71500,71500,92400,118000,241500
2,1990,0,25200,37100,51000,71100,71100,91500,117000,233100
2,1991,0,25400,37000,50800,70200,70200,90600,115000,227400
2,1992,0,25700,37700,51400,71200,71200,92200,118000,237800
2,1993,0,26100,37900,51700,72000,72000,92700,118200,229600
2,1994,0,26700,38400,52400,72800,72800,94000,119900,231400
2,1995,0,27800,39900,53800,74800,74800,96800,124500,248000
2,1996,0,28000,40200,55000,76400,76400,99700,128700,261200
2,1997,0,28700,41100,55900,78500,78500,103000,135200,280700
2,1998,0,30300,43200,58600,81900,81900,107800,142200,302200
2,1999,0,31000,44300,60200,84300,84300,111100,146500,321400
2,2000,0,31100,45000,61200,86100,86100,114100,151400,334700
2,2001,0,31800,45900,62200,87100,87100,113500,148500,307300
2,2002,0,32100,45700,61800,86200,86200,112600,146000,297200
2,2003,0,32400,46500,62800,88700,88700,115700,150800,306600
2,2004,0,33400,47700,64500,91100,91100,119500,156000,334100
2,2005,0,33900,48200,65600,92700,92700,123300,164400,369100
2,2006,0,34200,49100,66900,95200,95200,127000,169900,391200
2,2007,0,35900,50800,69000,97500,97500,130200,174900,406900
2,2008,0,36600,51300,69200,96900,96900,128000,168600,365400
2,2009,0,36400,50900,68600,96100,96100,126000,163600,323500
2,2010,0,36400,50800,68300,95500,95500,126000,164400,338600
2,2011,0,36300,50500,68000,96300,96300,128000,167800,348600
2,2012,0,35800,50300,68100,96900,96900,129500,171600,378700
2,2013,0,36300,50400,68400,97000,97000,129800,171500,360900
2,2014,0,37500,51700,69500,98900,98900,132000,176300,377000
2,2015,0,39600,54000,72300,102200,102200,136800,181800,391600
2,2016,0,40100,54600,72600,102800,102800,137900,182400,383700
3,1979,0,29500,42100,55600,75100,75100,94200,116800,210700
3,1980,0,28700,40900,54100,73200,73200,92100,113900,207100
3,1981,0,28400,40700,54300,73500,73500,92300,114900,209400
3,1982,0,27900,40600,54500,75300,75300,95500,117900,219600
3,1983,0,27200,40300,55100,76700,76700,97900,122900,233100
3,1984,0,28600,42200,58000,81100,81100,104400,131600,252000
3,1985,0,28600,42300,58300,81200,81200,104700,132500,261000
3,1986,0,29000,43400,59800,84200,84200,108700,140300,300500
3,1987,0,28300,43500,60900,85200,85200,109000,137400,271800
3,1988,0,29100,44300,61600,86400,86400,111500,141400,289900
3,1989,0,29900,44900,62300,87600,87600,113100,144500,295800
3,1990,0,30900,45400,62400,87100,87100,112100,143200,285500
3,1991,0,31200,45300,62200,86000,86000,111000,140800,278400
3,1992,0,31400,46100,63000,87200,87200,112900,144600,291200
