year,market_inc,adj_market_inc,inc_before_transfers_taxes,adj_inc_before_transfers_taxes,inc_after_transfers_taxes,adj_inc_after_transfers_taxes
1979,59900,32400,62700,34300,51500,28100
1980,57200,31300,60600,33300,50000,27200
1981,57100,31300,60500,33500,49600,27200
1982,55400,30500,59500,33100,49500,27200
1983,54600,30100,59000,33000,49100,27300
1984,57800,32100,61800,34900,51400,28700
1985,58200,32200,62300,35100,51600,28800
1986,59400,33000,63800,36000,52700,29600
1987,59100,33200,63300,36300,52600,30000
1988,59900,33800,64100,36800,52800,30300
1989,60500,34300,64800,37400,53700,30800
1990,60700,34000,65400,37400,54300,30900
1991,58900,33300,64300,37100,54100,30900
1992,58700,33300,64400,37200,54600,31300
1993,59100,33300,64700,37300,55100,31400
1994,60000,33900,65300,37800,55700,31800
1995,61900,35100,67400,38900,57700,32900
1996,62700,35400,68600,39600,58500,33300
1997,64200,36500,70000,40400,59600,33900
1998,66800,38100,72500,42000,62300,35600
1999,69500,39200,75000,43100,64200,36600
2000,69700,39600,75500,43600,65000,37200
2001,68800,39100,75000,43500,65900,37900
2002,66500,37900,73100,42700,65400,37700
2003,66300,37800,73100,42800,66500,38300
2004,68600,39200,75500,44000,68700,39400
2005,70100,39900,76800,44700,69600,39800
2006,70600,40600,77900,45700,70400,40600
2007,73200,41900,80900,47100,73300,41900
2008,70300,40100,78400,45700,73800,42100
2009,66500,37900,76600,44700,73400,41800
2010,65400,37500,76100,44600,72700,41600
2011,65500,37600,75200,44200,72400,41500
2012,65500,37700,75300,44200,72100,41400
2013,67000,38600,76600,45100,72400,41600
2014,68400,39400,78100,45600,74400,42400
2015,71000,40800,80800,47400,77700,44200
2016,71300,41100,81300,47700,78100,44500
