household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,17600,29000,40000,55800,55800,71300,90100,173000
1,1980,0,16900,28000,38900,54700,54700,70400,88200,170000
1,1981,0,16800,28100,39300,55300,55300,70800,89300,168500
1,1982,0,16300,27500,39000,55400,55400,71300,89000,169000
1,1983,0,15900,27400,39200,56100,56100,72500,91700,176600
1,1984,0,17100,28900,41300,59400,59400,77500,98000,192300
1,1985,0,17000,29100,41600,59500,59500,77900,99300,197900
1,1986,0,17000,29700,42700,61900,61900,81000,105000,228900
1,1987,0,16700,29600,43200,62700,62700,82200,105000,215300
1,1988,0,17000,30200,43900,63900,63900,83900,107900,229600
1,1989,0,17300,30600,44400,64700,64700,85100,109900,231300
1,1990,0,17900,30900,44300,64100,64100,84100,108800,223900
1,1991,0,17800,30400,44100,63200,63200,83300,107500,220200
1,1992,0,17400,30400,44500,63800,63800,84400,110000,230500
1,1993,0,17500,30500,44500,64500,64500,85300,111000,226300
1,1994,0,17800,30700,45200,65500,65500,86500,112900,233600
1,1995,0,18700,31900,46300,67300,67300,89300,117800,250100
1,1996,0,18500,32400,47200,68900,68900,92500,121500,265000
1,1997,0,19300,33100,48400,70900,70900,95900,127700,284000
1,1998,0,20300,34500,50300,73900,73900,99900,134500,305500
1,1999,0,20900,35400,51600,76200,76200,103800,139100,327600
1,2000,0,21000,35800,52300,77800,77800,106500,143900,340100
1,2001,0,20800,35600,52200,77400,77400,104400,139200,308300
1,2002,0,20500,34900,51200,75800,75800,102300,136300,293800
1,2003,0,20400,34700,51500,77000,77000,103900,138500,300500
1,2004,0,20900,35700,52800,79100,79100,107300,143600,326700
1,2005,0,21200,36300,53900,80800,80800,110900,151600,366700
1,2006,0,21800,37000,55100,83000,83000,114500,157100,386800
1,2007,0,23000,38500,56600,84900,84900,117100,160800,398500
1,2008,0,22400,37300,55200,82600,82600,113100,153600,353500
1,2009,0,21300,36300,54000,81100,81100,110500,147600,311600
1,2010,0,21200,36000,54000,81100,81100,111000,149600,329600
1,2011,0,21400,35800,53600,81500,81500,112600,151400,336800
1,2012,0,20900,35600,54000,82300,82300,114100,155900,368100
1,2013,0,21400,36400,55300,84100,84100,116500,159100,361700
1,2014,0,21400,36800,55700,85800,85800,119200,164200,379400
1,2015,0,22500,38300,57800,88800,88800,123500,168900,395600
1,2016,0,23000,38700,57900,89100,89100,124100,169600,386600
2,1979,0,25000,41000,56600,78900,78900,100900,127400,244600
2,1980,0,23900,39600,55000,77300,77300,99600,124700,240400
2,1981,0,23700,39700,55600,78100,78100,100100,126300,238400
2,1982,0,23100,39000,55200,78400,78400,100900,125900,239000
2,1983,0,22400,38700,55400,79300,79300,102600,129600,249800
2,1984,0,24100,40900,58500,84000,84000,109700,138700,271900
2,1985,0,24000,41100,58800,84200,84200,110100,140400,279900
2,1986,0,24100,42000,60300,87500,87500,114500,148500,323700
2,1987,0,23600,41900,61100,88700,88700,116200,148500,304500
2,1988,0,24100,42700,62100,90300,90300,118700,152600,324700
2,1989,0,24500,43200,62700,91400,91400,120300,155400,327100
2,1990,0,25400,43800,62700,90700,90700,118900,153800,316600
2,1991,0,25100,43000,62300,89300,89300,117800,152100,311400
2,1992,0,24500,43000,62900,90300,90300,119400,155500,325900
2,1993,0,24800,43100,62900,91200,91200,120600,156900,320100
2,1994,0,25100,43400,63900,92700,92700,122400,159600,330400
2,1995,0,26500,45100,65500,95100,95100,126400,166600,353700
2,1996,0,26200,45800,66800,97500,97500,130800,171800,374800
2,1997,0,27200,46800,68400,100300,100300,135600,180700,401600
2,1998,0,28700,48800,71100,104500,104500,141300,190200,432100
2,1999,0,29500,50100,72900,107800,107800,146800,196700,463400
2,2000,0,29700,50700,74000,110000,110000,150600,203500,481000
2,2001,0,29500,50300,73800,109400,109400,147600,196900,436000
2,2002,0,29000,49300,72400,107200,107200,144600,192700,415400
2,2003,0,28800,49000,72800,108900,108900,147000,195900,424900
2,2004,0,29500,50500,74600,111900,111900,151800,203000,462100
2,2005,0,30000,51300,76300,114200,114200,156800,214400,518600
2,2006,0,30900,52300,78000,117400,117400,161900,222200,547000
2,2007,0,32600,54500,80100,120100,120100,165600,227400,563500
2,2008,0,31600,52700,78000,116900,116900,160000,217200,499900
2,2009,0,30100,51300,76400,114700,114700,156300,208700,440600
2,2010,0,30000,50900,76300,114600,114600,157000,211600,466100
2,2011,0,30300,50600,75800,115300,115300,159300,214200,476300
2,2012,0,29600,50400,76300,116400,116400,161400,220500,520600
2,2013,0,30300,51400,78100,118900,118900,164700,225100,511500
2,2014,0,30300,52100,78800,121400,121400,168600,232200,536600
2,2015,0,31900,54100,81800,125500,125500,174700,238900,559400
2,2016,0,32500,54800,81800,126100,126100,175600,239900,546800
3,1979,0,30600,50200,69300,96600,96600,123600,156000,299600
3,1980,0,29300,48500,67400,94700,94700,122000,152800,294500
3,1981,0,29000,48600,68100,95700,95700,122600,154700,291900
3,1982,0,28300,47700,67600,96000,96000,123600,154200,292700
3,1983,0,27500,47400,67800,97100,97100,125700,158800,305900
3,1984,0,29600,50100,71600,102900,102900,134300,169800,333100
3,1985,0,29400,50300,72000,103100,103100,134900,171900,342800
3,1986,0,29500,51500,73900,107200,107200,140300,181900,396400
3,1987,0,28900,51300,74900,108600,108600,142300,181900,372900
3,1988,0,29500,52300,76000,110700,110700,145400,186900,397700
3,1989,0,30000,53000,76800,112000,112000,147400,190300,400600
3,1990,0,31100,53600,76800,111100,111100,145600,188400,387800
3,1991,0,30700,52700,76300,109400,109400,144300,186300,381400
3,1992,0,30100,52700,77100,110600,110600,146200,190400,399200
3,1993,0,30300,52800,77000,111700,111700,147700,192200,392000
3,1994,0,30700,53200,78300,113500,113500,149900,195500,404600
3,1995,0,32500,55300,80200,116500,116500,154800,204000,433200
3,1996,0,32100,56100,81800,119400,119400,160100,210500,459100
3,1997,0,33300,57400,83800,122800,122800,166100,221300,491800
3,1998,0,35200,59700,87100,128000,128000,173100,232900,529200
3,1999,0,36100,61300,89300,132000,132000,179800,241000,567500
3,2000,0,36400,62100,90700,134700,134700,184400,249300,589000
3,2001,0,36100,61700,90400,134000,134000,180800,241100,534000
3,2002,0,35500,60400,88700,131300,131300,177100,236000,508800
3,2003,0,35300,60000,89100,133300,133300,180000,239900,520400
3,2004,0,36100,61900,91400,137100,137100,185900,248600,565900
3,2005,0,36700,62800,93400,139900,139900,192000,262600,635200
3,2006,0,37800,64100,95500,143800,143800,198300,272100,670000
3,2007,0,39900,66700,98100,147100,147100,202800,278500,690100
3,2008,0,38800,64500,95600,143100,143100,196000,266000,612200
3,2009,0,36900,62900,93600,140400,140400,191400,255600,539700
3,2010,0,36700,62300,93500,140400,140400,192300,259200,570900
3,2011,0,37100,62000,92800,141200,141200,195100,262300,583300
3,2012,0,36300,61700,93500,142500,142500,197700,270100,637600
