household_type,income_group,year,inc_before_transfers_taxes,market_income,wages,employee_contrib_deferred_comp,employer_contrib_health_ins,employer_share_payroll_taxes,federal_unemployment_tax,corp_tax_borne_by_labor,business_income,capital_gains,tax_exempt_interest,taxable_interest,positive_rental_income,dividends,corp_tax_borne_by_capital,other_market_income,social_insurance_benefits,social_security,medicare,unemployment_insurance,workers_compensation
all_households,all_quintiles,1979,66000.0,61400.0,42600.0,0.0,1900.0,2100.0,100.0,600.0,3000.0,2400.0,200.0,2600.0,500.0,1200.0,1700.0,2400.0,4600.0,3300.0,900.0,300.0,100.0
all_households,all_quintiles,1980,64100.0,59100.0,41400.0,0.0,1600.0,2100.0,100.0,400.0,2400.0,2200.0,200.0,3200.0,600.0,1200.0,1300.0,2400.0,4900.0,3400.0,1000.0,400.0,100.0
all_households,all_quintiles,1981,64300.0,59100.0,41200.0,0.0,1600.0,2300.0,100.0,400.0,1900.0,2100.0,200.0,4000.0,600.0,1300.0,1100.0,2400.0,5200.0,3600.0,1100.0,300.0,100.0
all_households,all_quintiles,1982,64400.0,58700.0,40900.0,0.0,1800.0,2300.0,100.0,200.0,1700.0,2200.0,200.0,4200.0,600.0,1400.0,700.0,2400.0,5700.0,3800.0,1200.0,500.0,200.0
all_households,all_quintiles,1983,65100.0,59300.0,40500.0,0.0,1900.0,2300.0,100.0,300.0,2000.0,2900.0,300.0,3800.0,600.0,1200.0,900.0,2500.0,5800.0,3800.0,1300.0,500.0,200.0
all_households,all_quintiles,1984,68700.0,63100.0,42200.0,200.0,1800.0,2500.0,100.0,300.0,2700.0,3100.0,400.0,4200.0,600.0,1200.0,1000.0,2700.0,5600.0,3800.0,1300.0,300.0,200.0
all_households,all_quintiles,1985,69800.0,64100.0,42700.0,300.0,1900.0,2600.0,100.0,300.0,2300.0,3700.0,400.0,4100.0,600.0,1300.0,1000.0,2800.0,5700.0,3800.0,1400.0,300.0,200.0
all_households,all_quintiles,1986,74500.0,68700.0,43600.0,400.0,1900.0,2700.0,100.0,400.0,2700.0,6900.0,500.0,3600.0,500.0,1400.0,1100.0,2900.0,5900.0,3900.0,1500.0,300.0,200.0
all_households,all_quintiles,1987,72100.0,66400.0,44200.0,500.0,2200.0,2700.0,100.0,400.0,3200.0,2800.0,600.0,3500.0,500.0,1400.0,1300.0,2900.0,5800.0,3900.0,1500.0,300.0,200.0
all_households,all_quintiles,1988,75200.0,69400.0,45100.0,500.0,2300.0,2900.0,100.0,400.0,3900.0,3000.0,600.0,3600.0,500.0,1500.0,1400.0,3500.0,5800.0,3900.0,1500.0,200.0,200.0
all_households,all_quintiles,1989,75700.0,69800.0,45100.0,600.0,2300.0,2900.0,100.0,400.0,3900.0,2700.0,700.0,4100.0,600.0,1500.0,1300.0,3700.0,5900.0,3900.0,1500.0,200.0,200.0
all_households,all_quintiles,1990,75300.0,69200.0,45300.0,600.0,2300.0,3000.0,100.0,400.0,3900.0,2000.0,700.0,4000.0,600.0,1400.0,1200.0,3700.0,6100.0,4000.0,1700.0,300.0,200.0
all_households,all_quintiles,1991,73500.0,67100.0,44400.0,600.0,2300.0,2900.0,100.0,400.0,3500.0,1700.0,700.0,3500.0,600.0,1300.0,1100.0,3900.0,6500.0,4100.0,1700.0,400.0,200.0
all_households,all_quintiles,1992,75500.0,68700.0,45300.0,800.0,2600.0,3000.0,100.0,400.0,4000.0,1900.0,700.0,2700.0,600.0,1300.0,1200.0,4100.0,6800.0,4200.0,1800.0,500.0,200.0
all_households,all_quintiles,1993,75800.0,68800.0,45100.0,800.0,2900.0,3000.0,100.0,500.0,4000.0,2200.0,700.0,2100.0,700.0,1200.0,1400.0,4100.0,7000.0,4400.0,2000.0,400.0,200.0
all_households,all_quintiles,1994,76600.0,69700.0,45400.0,900.0,3100.0,3100.0,100.0,500.0,4200.0,2100.0,700.0,1900.0,700.0,1200.0,1500.0,4300.0,6900.0,4400.0,2000.0,300.0,200.0
all_households,all_quintiles,1995,79900.0,72800.0,46800.0,1100.0,3100.0,3200.0,100.0,600.0,4300.0,2500.0,700.0,2300.0,700.0,1400.0,1700.0,4500.0,7100.0,4500.0,2200.0,300.0,200.0
all_households,all_quintiles,1996,83000.0,75700.0,47700.0,1200.0,3000.0,3200.0,100.0,600.0,4600.0,3500.0,700.0,2400.0,700.0,1500.0,1800.0,4800.0,7200.0,4500.0,2300.0,300.0,100.0
all_households,all_quintiles,1997,86800.0,79500.0,49400.0,1200.0,2800.0,3300.0,100.0,600.0,4900.0,4800.0,700.0,2400.0,700.0,1600.0,1900.0,5100.0,7300.0,4500.0,2400.0,200.0,200.0
all_households,all_quintiles,1998,91500.0,84200.0,51900.0,1400.0,2700.0,3500.0,100.0,600.0,5200.0,5900.0,700.0,2400.0,700.0,1600.0,1800.0,5700.0,7300.0,4600.0,2300.0,200.0,100.0
all_households,all_quintiles,1999,95900.0,88800.0,54200.0,1500.0,2700.0,3600.0,100.0,600.0,5600.0,7100.0,700.0,2300.0,700.0,1700.0,1800.0,6100.0,7100.0,4500.0,2200.0,200.0,100.0
all_households,all_quintiles,2000,98500.0,91300.0,55300.0,1600.0,2800.0,3700.0,100.0,600.0,5400.0,7700.0,700.0,2500.0,700.0,1800.0,1800.0,6700.0,7200.0,4600.0,2200.0,200.0,200.0
all_households,all_quintiles,2001,93100.0,85500.0,54900.0,1600.0,3000.0,3700.0,100.0,400.0,5300.0,3900.0,700.0,2400.0,700.0,1400.0,1200.0,6200.0,7600.0,4700.0,2400.0,300.0,100.0
