household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1400.0,400.0,200.0,200.0,500.0
all_households,all_quintiles,1980,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1981,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1982,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1983,1500.0,500.0,300.0,200.0,600.0
all_households,all_quintiles,1984,1500.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1985,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1986,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1987,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1988,1600.0,600.0,200.0,200.0,600.0
all_households,all_quintiles,1989,1700.0,600.0,200.0,300.0,600.0
all_households,all_quintiles,1990,1900.0,700.0,300.0,300.0,600.0
all_households,all_quintiles,1991,2100.0,900.0,300.0,300.0,700.0
all_households,all_quintiles,1992,2300.0,1000.0,300.0,300.0,700.0
all_households,all_quintiles,1993,2500.0,1100.0,300.0,400.0,700.0
all_households,all_quintiles,1994,2500.0,1100.0,300.0,400.0,700.0
all_households,all_quintiles,1995,2600.0,1200.0,300.0,400.0,700.0
all_households,all_quintiles,1996,2500.0,1200.0,300.0,400.0,600.0
all_households,all_quintiles,1997,2400.0,1200.0,300.0,400.0,600.0
all_households,all_quintiles,1998,2500.0,1400.0,200.0,400.0,500.0
all_households,all_quintiles,1999,2600.0,1500.0,200.0,400.0,500.0
all_households,all_quintiles,2000,2600.0,1600.0,200.0,400.0,500.0
all_households,all_quintiles,2001,2800.0,1800.0,200.0,400.0,500.0
all_households,all_quintiles,2002,3100.0,2000.0,200.0,400.0,500.0
all_households,all_quintiles,2003,3300.0,2200.0,300.0,400.0,500.0
all_households,all_quintiles,2004,3500.0,2300.0,300.0,400.0,500.0
all_households,all_quintiles,2005,3500.0,2300.0,300.0,400.0,500.0
all_households,all_quintiles,2006,3500.0,2200.0,300.0,400.0,600.0
all_households,all_quintiles,2007,3500.0,2300.0,300.0,400.0,600.0
all_households,all_quintiles,2008,3700.0,2400.0,400.0,400.0,600.0
all_households,all_quintiles,2009,4200.0,2600.0,500.0,400.0,600.0
all_households,all_quintiles,2010,4400.0,2700.0,600.0,400.0,700.0
all_households,all_quintiles,2011,4300.0,2600.0,600.0,400.0,700.0
all_households,all_quintiles,2012,4300.0,2600.0,600.0,400.0,600.0
all_households,all_quintiles,2013,4400.0,2700.0,600.0,500.0,600.0
all_households,all_quintiles,2014,5100.0,3400.0,600.0,400.0,600.0
all_households,all_quintiles,2015,5500.0,3800.0,600.0,400.0,700.0
all_households,all_quintiles,2016,5600.0,3900.0,500.0,400.0,700.0
all_households,lowest_quintile,1979,4900.0,1400.0,900.0,700.0,1900.0
all_households,lowest_quintile,1980,5300.0,1500.0,1000.0,800.0,2000.0
all_households,lowest_quintile,1981,5400.0,1500.0,1100.0,800.0,2100.0
all_households,lowest_quintile,1982,5700.0,1600.0,1100.0,800.0,2200.0
all_households,lowest_quintile,1983,6100.0,1700.0,1100.0,800.0,2400.0
all_households,lowest_quintile,1984,5600.0,1600.0,1000.0,800.0,2300.0
all_households,lowest_quintile,1985,6000.0,1800.0,1000.0,800.0,2400.0
all_households,lowest_quintile,1986,6100.0,1900.0,900.0,800.0,2400.0
all_households,lowest_quintile,1987,6400.0,2100.0,1000.0,900.0,2500.0
all_households,lowest_quintile,1988,6400.0,2100.0,1000.0,900.0,2400.0
all_households,lowest_quintile,1989,6800.0,2400.0,1000.0,900.0,2500.0
all_households,lowest_quintile,1990,7300.0,2700.0,1100.0,900.0,2600.0
all_households,lowest_quintile,1991,8000.0,3000.0,1300.0,1000.0,2700.0
all_households,lowest_quintile,1992,8700.0,3500.0,1400.0,1200.0,2700.0
all_households,lowest_quintile,1993,9400.0,3800.0,1400.0,1200.0,2900.0
all_households,lowest_quintile,1994,9400.0,3800.0,1400.0,1300.0,2900.0
all_households,lowest_quintile,1995,9200.0,3800.0,1300.0,1300.0,2800.0
all_households,lowest_quintile,1996,9000.0,3800.0,1200.0,1400.0,2600.0
all_households,lowest_quintile,1997,8400.0,3800.0,1000.0,1300.0,2300.0
all_households,lowest_quintile,1998,8600.0,4200.0,900.0,1300.0,2200.0
all_households,lowest_quintile,1999,8400.0,4400.0,800.0,1300.0,1900.0
all_households,lowest_quintile,2000,8500.0,4700.0,700.0,1200.0,1800.0
all_households,lowest_quintile,2001,9100.0,5200.0,800.0,1300.0,1800.0
all_households,lowest_quintile,2002,9600.0,5700.0,800.0,1300.0,1800.0
all_households,lowest_quintile,2003,10100.0,6000.0,1000.0,1200.0,1900.0
all_households,lowest_quintile,2004,10400.0,6300.0,1100.0,1200.0,1800.0
all_households,lowest_quintile,2005,10400.0,6200.0,1200.0,1200.0,1800.0
all_households,lowest_quintile,2006,10300.0,5900.0,1200.0,1200.0,2000.0
all_households,lowest_quintile,2007,10100.0,5800.0,1100.0,1200.0,1900.0
all_households,lowest_quintile,2008,10500.0,6100.0,1300.0,1200.0,1900.0
all_households,lowest_quintile,2009,11900.0,6700.0,1900.0,1400.0,2000.0
all_households,lowest_quintile,2010,12500.0,6900.0,2100.0,1400.0,2100.0
all_households,lowest_quintile,2011,12000.0,6400.0,2200.0,1300.0,2000.0
all_households,lowest_quintile,2012,12100.0,6600.0,2200.0,1400.0,1800.0
all_households,lowest_quintile,2013,12500.0,7100.0,2100.0,1500.0,1800.0
all_households,lowest_quintile,2014,14000.0,8900.0,1900.0,1400.0,1900.0
all_households,lowest_quintile,2015,14700.0,9500.0,1800.0,1400.0,2000.0
all_households,lowest_quintile,2016,14800.0,9600.0,1700.0,1300.0,2100.0
all_households,second_quintile,1979,900.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1980,1000.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1981,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1982,1000.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1983,900.0,300.0,200.0,100.0,300.0
all_households,second_quintile,1984,1000.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1985,1000.0,300.0,100.0,100.0,300.0
all_households,second_quintile,1986,1100.0,400.0,100.0,200.0,400.0
all_households,second_quintile,1987,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1988,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1989,1100.0,500.0,100.0,200.0,300.0
all_households,second_quintile,1990,1300.0,600.0,100.0,200.0,400.0
all_households,second_quintile,1991,1600.0,700.0,200.0,300.0,400.0
all_households,second_quintile,1992,2000.0,900.0,300.0,300.0,500.0
all_households,second_quintile,1993,2200.0,1000.0,300.0,300.0,500.0
all_households,second_quintile,1994,2200.0,1100.0,300.0,300.0,500.0
all_households,second_quintile,1995,2400.0,1200.0,300.0,400.0,500.0
all_households,second_quintile,1996,2300.0,1200.0,300.0,300.0,500.0
all_households,second_quintile,1997,2300.0,1300.0,200.0,300.0,400.0
all_households,second_quintile,1998,2500.0,1600.0,200.0,400.0,400.0
all_households,second_quintile,1999,2600.0,1700.0,200.0,400.0,400.0
all_households,second_quintile,2000,2800.0,1900.0,200.0,400.0,400.0
all_households,second_quintile,2001,3100.0,2200.0,200.0,400.0,400.0
all_households,second_quintile,2002,3500.0,2500.0,200.0,400.0,400.0
all_households,second_quintile,2003,3800.0,2700.0,200.0,400.0,500.0
all_households,second_quintile,2004,4100.0,3000.0,300.0,400.0,500.0
all_households,second_quintile,2005,4000.0,2900.0,300.0,400.0,400.0
all_households,second_quintile,2006,4200.0,2800.0,300.0,400.0,700.0
all_households,second_quintile,2007,4100.0,2900.0,300.0,400.0,600.0
all_households,second_quintile,2008,4700.0,3200.0,400.0,400.0,700.0
all_households,second_quintile,2009,5400.0,3600.0,600.0,500.0,800.0
all_households,second_quintile,2010,5600.0,3600.0,700.0,500.0,900.0
all_households,second_quintile,2011,5700.0,3600.0,800.0,500.0,900.0
all_households,second_quintile,2012,5700.0,3700.0,800.0,500.0,800.0
all_households,second_quintile,2013,5700.0,3700.0,800.0,400.0,800.0
all_households,second_quintile,2014,6500.0,4500.0,700.0,500.0,800.0
