household_type,income_group,year,federal_taxes,individual_income_tax,payroll_taxes,corporate_income_tax,excise_taxes
all_households,all_quintiles,1979,14800.0,7300.0,4600.0,2200.0,600.0
all_households,all_quintiles,1980,14400.0,7600.0,4500.0,1800.0,500.0
all_households,all_quintiles,1981,14500.0,7800.0,4800.0,1400.0,500.0
all_households,all_quintiles,1982,13400.0,7200.0,4900.0,900.0,500.0
all_households,all_quintiles,1983,13300.0,6700.0,4900.0,1200.0,600.0
all_households,all_quintiles,1984,14300.0,7000.0,5300.0,1400.0,700.0
all_households,all_quintiles,1985,14600.0,7100.0,5500.0,1300.0,700.0
all_households,all_quintiles,1986,15600.0,7800.0,5800.0,1400.0,700.0
all_households,all_quintiles,1987,15700.0,7500.0,5800.0,1700.0,700.0
all_households,all_quintiles,1988,16500.0,7900.0,6100.0,1800.0,700.0
all_households,all_quintiles,1989,16400.0,7800.0,6200.0,1800.0,600.0
all_households,all_quintiles,1990,16300.0,7700.0,6400.0,1600.0,600.0
all_households,all_quintiles,1991,15900.0,7300.0,6400.0,1500.0,700.0
all_households,all_quintiles,1992,16300.0,7500.0,6400.0,1600.0,700.0
all_households,all_quintiles,1993,16800.0,7600.0,6500.0,1900.0,800.0
all_households,all_quintiles,1994,17200.0,7700.0,6600.0,2000.0,800.0
all_households,all_quintiles,1995,18100.0,8200.0,6800.0,2300.0,800.0
all_households,all_quintiles,1996,19000.0,8900.0,6900.0,2400.0,800.0
all_households,all_quintiles,1997,20000.0,9600.0,7100.0,2500.0,800.0
all_households,all_quintiles,1998,20700.0,10100.0,7500.0,2400.0,800.0
all_households,all_quintiles,1999,22100.0,11000.0,7700.0,2400.0,900.0
all_households,all_quintiles,2000,22700.0,11700.0,7800.0,2400.0,800.0
all_households,all_quintiles,2001,20100.0,9700.0,7900.0,1600.0,800.0
all_households,all_quintiles,2002,18600.0,8700.0,7600.0,1500.0,800.0
all_households,all_quintiles,2003,18100.0,7700.0,7600.0,2000.0,800.0
all_households,all_quintiles,2004,19500.0,8500.0,7700.0,2500.0,800.0
all_households,all_quintiles,2005,21100.0,9200.0,7800.0,3300.0,800.0
all_households,all_quintiles,2006,22000.0,9700.0,7900.0,3700.0,700.0
all_households,all_quintiles,2007,22200.0,10200.0,8100.0,3200.0,600.0
all_households,all_quintiles,2008,18700.0,8100.0,8000.0,1900.0,600.0
all_households,all_quintiles,2009,17000.0,7100.0,7800.0,1400.0,600.0
all_households,all_quintiles,2010,17900.0,7600.0,7600.0,2000.0,600.0
all_households,all_quintiles,2011,17600.0,8300.0,6700.0,2000.0,600.0
all_households,all_quintiles,2012,19100.0,9300.0,6700.0,2300.0,700.0
all_households,all_quintiles,2013,20600.0,9500.0,7900.0,2500.0,700.0
all_households,all_quintiles,2014,21800.0,10300.0,8000.0,2800.0,800.0
all_households,all_quintiles,2015,22400.0,10800.0,8300.0,2600.0,800.0
all_households,all_quintiles,2016,22100.0,10500.0,8300.0,2600.0,700.0
all_households,lowest_quintile,1979,1400.0,-0.0,900.0,200.0,300.0
all_households,lowest_quintile,1980,1300.0,0.0,900.0,200.0,200.0
all_households,lowest_quintile,1981,1400.0,100.0,1000.0,100.0,200.0
all_households,lowest_quintile,1982,1400.0,100.0,1000.0,100.0,200.0
all_households,lowest_quintile,1983,1500.0,100.0,1000.0,100.0,300.0
all_households,lowest_quintile,1984,1800.0,100.0,1100.0,100.0,400.0
all_households,lowest_quintile,1985,1700.0,100.0,1100.0,100.0,400.0
