household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
1,1979,0,13800,26800,38500,54400,54400,70000,88600,170800
1,1980,0,12700,25500,37100,53100,53100,68700,86300,167800
1,1981,0,12600,25400,37400,53500,53500,68900,87500,166000
1,1982,0,11900,24400,36600,53300,53300,69500,86900,165600
1,1983,0,11500,24000,36600,53900,53900,70500,89600,173600
1,1984,0,12900,25900,38900,57200,57200,75200,95700,189400
1,1985,0,12800,25900,39000,57400,57400,75500,97100,194800
1,1986,0,12600,26300,40000,59800,59800,78900,102500,225000
1,1987,0,12000,26100,40700,60700,60700,80400,102900,211700
1,1988,0,12300,26800,41300,61800,61800,81700,105900,226300
1,1989,0,12800,27000,41800,62400,62400,83100,107700,228800
1,1990,0,13200,27300,41400,61900,61900,81900,106400,220600
1,1991,0,12800,26300,41000,60700,60700,81000,105000,216900
1,1992,0,12300,26100,41100,61300,61300,82300,107600,227400
1,1993,0,12200,25900,41100,61900,61900,82600,108200,223200
1,1994,0,12300,26400,42000,63100,63100,84100,109600,231200
1,1995,0,13500,27700,43100,64800,64800,86900,114700,246100
1,1996,0,13500,27900,43600,66200,66200,89700,118200,261000
1,1997,0,14100,28800,44700,67900,67900,93200,124300,279500
1,1998,0,15500,30000,46800,71200,71200,97300,131100,301500
1,1999,0,16100,31000,48200,73600,73600,101000,136400,324600
1,2000,0,16200,31300,48900,74800,74800,103600,140700,335400
1,2001,0,15500,30900,48300,74400,74400,101600,136200,304900
1,2002,0,15000,29700,47100,72700,72700,99400,133600,290600
1,2003,0,14500,29500,47400,73900,73900,101000,135300,296800
1,2004,0,15000,30500,48800,76000,76000,104500,140700,322600
1,2005,0,15700,31100,49800,77500,77500,107500,148100,362800
1,2006,0,16000,31500,50700,79500,79500,110900,153100,382500
1,2007,0,17300,33100,52000,81000,81000,113300,157000,393700
1,2008,0,16200,31300,50200,78800,78800,109700,149700,349200
1,2009,0,14300,29200,48000,76500,76500,106300,143400,306400
1,2010,0,14200,28800,47600,76300,76300,107100,145500,325200
1,2011,0,14300,28900,47800,77100,77100,108200,147000,332700
1,2012,0,14100,28700,47900,77900,77900,109400,151500,363900
1,2013,0,14700,29600,49000,79400,79400,112200,154800,355700
1,2014,0,14600,30200,49900,81000,81000,114400,159600,375000
1,2015,0,15600,31500,51800,83800,83800,119100,164300,391300
1,2016,0,15700,31800,51800,84100,84100,119600,165000,382400
2,1979,0,19500,37800,54400,77000,77000,98900,125300,241600
2,1980,0,17900,36100,52500,75100,75100,97200,122100,237200
2,1981,0,17800,35900,52800,75700,75700,97400,123700,234700
2,1982,0,16800,34500,51700,75400,75400,98200,122800,234200
2,1983,0,16300,34000,51700,76200,76200,99800,126700,245500
2,1984,0,18200,36600,54900,80900,80900,106400,135300,267800
2,1985,0,18100,36700,55100,81200,81200,106800,137300,275500
2,1986,0,17900,37100,56600,84500,84500,111600,145000,318200
2,1987,0,17000,36900,57600,85800,85800,113700,145500,299400
2,1988,0,17500,37900,58400,87400,87400,115600,149700,320000
2,1989,0,18000,38200,59100,88200,88200,117500,152400,323600
2,1990,0,18600,38600,58600,87600,87600,115800,150400,312000
2,1991,0,18100,37200,57900,85900,85900,114600,148400,306800
2,1992,0,17400,36900,58200,86600,86600,116400,152200,321600
2,1993,0,17200,36600,58100,87500,87500,116800,153000,315700
2,1994,0,17400,37400,59400,89300,89300,118900,155000,326900
2,1995,0,19100,39200,60900,91700,91700,122900,162200,348000
2,1996,0,19100,39500,61700,93600,93600,126900,167200,369100
2,1997,0,20000,40800,63300,96000,96000,131900,175700,395200
2,1998,0,21900,42400,66100,100700,100700,137600,185500,426400
2,1999,0,22700,43800,68200,104000,104000,142800,192900,459100
2,2000,0,22900,44200,69100,105800,105800,146500,198900,474300
2,2001,0,21900,43700,68300,105300,105300,143700,192600,431100
2,2002,0,21100,42000,66600,102800,102800,140500,188900,410900
2,2003,0,20500,41700,67000,104500,104500,142800,191400,419700
2,2004,0,21200,43200,69000,107400,107400,147700,199000,456200
2,2005,0,22200,43900,70400,109700,109700,152000,209400,513100
2,2006,0,22600,44500,71700,112400,112400,156800,216500,540900
2,2007,0,24500,46800,73500,114600,114600,160200,222100,556700
2,2008,0,22900,44300,71000,111400,111400,155100,211600,493900
2,2009,0,20300,41300,67900,108100,108100,150400,202800,433300
2,2010,0,20000,40700,67300,107800,107800,151500,205800,459900
2,2011,0,20300,40900,67600,109100,109100,153000,207900,470500
2,2012,0,19900,40500,67800,110200,110200,154700,214200,514600
2,2013,0,20700,41900,69300,112300,112300,158600,218900,503100
2,2014,0,20700,42700,70600,114500,114500,161800,225700,530300
2,2015,0,22100,44600,73200,118500,118500,168400,232300,553300
2,2016,0,22200,45000,73300,119000,119000,169100,233300,540800
3,1979,0,23900,46300,66600,94200,94200,121200,153500,295900
3,1980,0,21900,44200,64300,92000,92000,119000,149500,290600
3,1981,0,21800,44000,64700,92700,92700,119300,151500,287400
3,1982,0,20600,42300,63300,92400,92400,120300,150400,286800
3,1983,0,20000,41600,63300,93300,93300,122200,155200,300700
3,1984,0,22300,44800,67300,99100,99100,130300,165700,328000
3,1985,0,22200,44900,67500,99400,99400,130800,168100,337400
3,1986,0,21900,45500,69400,103500,103500,136700,177600,389700
3,1987,0,20800,45200,70500,105100,105100,139300,178200,366700
3,1988,0,21400,46400,71500,107000,107000,141600,183400,391900
3,1989,0,22100,46800,72400,108100,108100,144000,186600,396300
3,1990,0,22800,47300,71700,107300,107300,141800,184200,382100
3,1991,0,22200,45500,71000,105200,105200,140300,181800,375700
3,1992,0,21300,45200,71200,106100,106100,142600,186400,393900
3,1993,0,21000,44900,71200,107200,107200,143100,187400,386600
3,1994,0,21400,45800,72700,109300,109300,145600,189800,400400
3,1995,0,23400,48000,74600,112300,112300,150500,198600,426200
3,1996,0,23400,48400,75600,114600,114600,155400,204800,452100
3,1997,0,24500,49900,77500,117600,117600,161500,215200,484100
3,1998,0,26800,51900,81000,123400,123400,168500,227100,522200
3,1999,0,27800,53700,83500,127400,127400,174900,236300,562300
3,2000,0,28100,54200,84700,129600,129600,179400,243600,580900
3,2001,0,26800,53500,83700,128900,128900,176000,235900,528000
3,2002,0,25900,51400,81600,126000,126000,172100,231400,503300
3,2003,0,25100,51000,82100,128000,128000,174900,234400,514100
3,2004,0,25900,52900,84500,131600,131600,180900,243700,558700
3,2005,0,27200,53800,86300,134300,134300,186200,256400,628400
3,2006,0,27600,54500,87800,137700,137700,192000,265200,662400
3,2007,0,30000,57400,90100,140300,140300,196200,272000,681800
3,2008,0,28100,54300,86900,136400,136400,190000,259200,604900
3,2009,0,24800,50600,83100,132400,132400,184200,248400,530700
3,2010,0,24500,49900,82500,132100,132100,185500,252000,563200
3,2011,0,24800,50000,82800,133600,133600,187400,254600,576200
3,2012,0,24400,49600,83000,135000,135000,189500,262400,630300
3,2013,0,25400,51300,84900,137500,137500,194300,268200,616200
3,2014,0,25300,52400,86400,140200,140200,198100,276400,649500
3,2015,0,27000,54600,89600,145100,145100,206300,284500,677700
3,2016,0,27200,55100,89700,145700,145700,207100,285800,662400
4,1979,0,27600,53500,77000,108800,108800,139900,177200,341600
4,1980,0,25300,51000,74200,106200,106200,137500,172700,335500
4,1981,0,25200,50800,74700,107100,107100,137800,174900,331900
4,1982,0,23800,48800,73100,106700,106700,138900,173700,331200
4,1983,0,23100,48100,73100,107700,107700,141100,179200,347200
4,1984,0,25700,51700,77700,114400,114400,150500,191300,378800
4,1985,0,25600,51800,78000,114800,114800,151100,194200,389600
4,1986,0,25300,52500,80100,119600,119600,157900,205000,450000
4,1987,0,24100,52200,81400,121300,121300,160900,205700,423400
4,1988,0,24700,53600,82600,123500,123500,163500,211800,452500
4,1989,0,25500,54100,83500,124800,124800,166200,215500,457600
4,1990,0,26300,54600,82800,123900,123900,163700,212700,441200
4,1991,0,25600,52500,81900,121400,121400,162000,209900,433900
4,1992,0,24600,52200,82300,122500,122500,164700,215200,454800
4,1993,0,24300,51800,82200,123700,123700,165200,216400,446400
4,1994,0,24700,52900,84000,126300,126300,168100,219200,462300
4,1995,0,27000,55400,86200,129600,129600,173800,229300,492200
4,1996,0,27000,55900,87300,132400,132400,179400,236500,522000
4,1997,0,28300,57600,89500,135800,135800,186500,248500,558900
4,1998,0,31000,60000,93500,142500,142500,194600,262300,603000
4,1999,0,32100,62000,96400,147100,147100,201900,272900,649200
4,2000,0,32500,62600,97800,149600,149600,207200,281300,670700
4,2001,0,31000,61800,96600,148900,148900,203200,272400,609700
4,2002,0,29900,59400,94200,145400,145400,198700,267200,581100
4,2003,0,29000,58900,94800,147800,147800,201900,270700,593600
4,2004,0,29900,61100,97600,151900,151900,208900,281400,645100
4,2005,0,31400,62100,99600,155100,155100,215000,296100,725600
4,2006,0,31900,63000,101400,159000,159000,221800,306200,764900
4,2007,0,34600,66300,104000,162000,162000,226500,314000,787300
4,2008,0,32400,62700,100400,157500,157500,219400,299300,698400
4,2009,0,28700,58400,96000,152900,152900,212700,286800,612800
4,2010,0,28300,57600,95200,152500,152500,214200,291000,650300
4,2011,0,28600,57800,95600,154300,154300,216400,294000,665400
4,2012,0,28100,57300,95800,155800,155800,218800,302900,727800
4,2013,0,29300,59200,98100,158800,158800,224300,309600,711500
4,2014,0,29300,60500,99800,161900,161900,228800,319100,750000
4,2015,0,31200,63000,103500,167600,167600,238200,328500,782500
4,2016,0,31400,63600,103600,168200,168200,239200,330000,764900
