household_type,income_group,year,market_income,social_insurance_benefits,inc_before_transfers_taxes,means_tested_transfers,federal_taxes,inc_after_transfers_taxes
all_households,all_quintiles,1979,61400.0,4600.0,66000.0,1400.0,14800.0,52600.0
all_households,all_quintiles,1980,59100.0,4900.0,64100.0,1500.0,14400.0,51200.0
all_households,all_quintiles,1981,59100.0,5200.0,64300.0,1500.0,14500.0,51300.0
all_households,all_quintiles,1982,58700.0,5700.0,64400.0,1500.0,13400.0,52500.0
all_households,all_quintiles,1983,59300.0,5800.0,65100.0,1500.0,13300.0,53200.0
all_households,all_quintiles,1984,63100.0,5600.0,68700.0,1500.0,14300.0,55900.0
all_households,all_quintiles,1985,64100.0,5700.0,69800.0,1600.0,14600.0,56800.0
all_households,all_quintiles,1986,68700.0,5900.0,74500.0,1600.0,15600.0,60500.0
all_households,all_quintiles,1987,66400.0,5800.0,72100.0,1600.0,15700.0,58000.0
all_households,all_quintiles,1988,69400.0,5800.0,75200.0,1600.0,16500.0,60300.0
all_households,all_quintiles,1989,69800.0,5900.0,75700.0,1700.0,16400.0,61000.0
all_households,all_quintiles,1990,69200.0,6100.0,75300.0,1900.0,16300.0,60900.0
all_households,all_quintiles,1991,67100.0,6500.0,73500.0,2100.0,15900.0,59800.0
all_households,all_quintiles,1992,68700.0,6800.0,75500.0,2300.0,16300.0,61500.0
all_households,all_quintiles,1993,68800.0,7000.0,75800.0,2500.0,16800.0,61500.0
all_households,all_quintiles,1994,69700.0,6900.0,76600.0,2500.0,17200.0,62000.0
all_households,all_quintiles,1995,72800.0,7100.0,79900.0,2600.0,18100.0,64400.0
all_households,all_quintiles,1996,75700.0,7200.0,83000.0,2500.0,19000.0,66500.0
all_households,all_quintiles,1997,79500.0,7300.0,86800.0,2400.0,20000.0,69200.0
all_households,all_quintiles,1998,84200.0,7300.0,91500.0,2500.0,20700.0,73300.0
all_households,all_quintiles,1999,88800.0,7100.0,95900.0,2600.0,22100.0,76300.0
all_households,all_quintiles,2000,91300.0,7200.0,98500.0,2600.0,22700.0,78500.0
all_households,all_quintiles,2001,85500.0,7600.0,93100.0,2800.0,20100.0,75900.0
all_households,all_quintiles,2002,81500.0,8000.0,89500.0,3100.0,18600.0,74000.0
all_households,all_quintiles,2003,82900.0,8100.0,91000.0,3300.0,18100.0,76200.0
all_households,all_quintiles,2004,88000.0,8100.0,96100.0,3500.0,19500.0,80100.0
all_households,all_quintiles,2005,93000.0,8200.0,101300.0,3500.0,21100.0,83700.0
all_households,all_quintiles,2006,96600.0,8600.0,105200.0,3500.0,22000.0,86700.0
all_households,all_quintiles,2007,99700.0,8800.0,108500.0,3500.0,22200.0,89800.0
all_households,all_quintiles,2008,91600.0,9200.0,100800.0,3700.0,18700.0,85800.0
all_households,all_quintiles,2009,84200.0,10600.0,94800.0,4200.0,17000.0,82000.0
all_households,all_quintiles,2010,85800.0,10600.0,96400.0,4400.0,17900.0,82900.0
all_households,all_quintiles,2011,86000.0,10300.0,96300.0,4300.0,17600.0,83000.0
all_households,all_quintiles,2012,90400.0,10400.0,100800.0,4300.0,19100.0,86100.0
all_households,all_quintiles,2013,89200.0,10400.0,99600.0,4400.0,20600.0,83400.0
all_households,all_quintiles,2014,92700.0,10400.0,103100.0,5100.0,21800.0,86400.0
all_households,all_quintiles,2015,95600.0,10700.0,106200.0,5500.0,22400.0,89300.0
all_households,all_quintiles,2016,94600.0,10900.0,105500.0,5600.0,22100.0,89000.0
all_households,lowest_quintile,1979,7600.0,9800.0,17400.0,4400.0,1000.0,20700.0
all_households,lowest_quintile,1980,6900.0,10000.0,16900.0,4600.0,900.0,20600.0
all_households,lowest_quintile,1981,6700.0,10300.0,17000.0,4800.0,900.0,20800.0
all_households,lowest_quintile,1982,6200.0,10600.0,16800.0,4900.0,800.0,20900.0
all_households,lowest_quintile,1983,5900.0,10500.0,16400.0,5300.0,900.0,20800.0
all_households,lowest_quintile,1984,7200.0,9900.0,17100.0,4900.0,1100.0,20900.0
all_households,lowest_quintile,1985,6900.0,10300.0,17200.0,5300.0,1100.0,21400.0
all_households,lowest_quintile,1986,6800.0,10300.0,17200.0,5400.0,1100.0,21500.0
all_households,lowest_quintile,1987,6100.0,10600.0,16700.0,5600.0,900.0,21400.0
all_households,lowest_quintile,1988,6300.0,10800.0,17200.0,5800.0,1000.0,22000.0
all_households,lowest_quintile,1989,7000.0,10900.0,17800.0,5900.0,1000.0,22800.0
all_households,lowest_quintile,1990,7300.0,11100.0,18400.0,6400.0,1100.0,23800.0
all_households,lowest_quintile,1991,7200.0,11700.0,18800.0,6900.0,1000.0,24700.0
all_households,lowest_quintile,1992,6900.0,12300.0,19200.0,7500.0,1000.0,25600.0
all_households,lowest_quintile,1993,6800.0,12800.0,19500.0,7800.0,1000.0,26400.0
all_households,lowest_quintile,1994,6500.0,13000.0,19500.0,8000.0,800.0,26600.0
all_households,lowest_quintile,1995,7500.0,13200.0,20600.0,8000.0,800.0,27800.0
all_households,lowest_quintile,1996,7700.0,12900.0,20500.0,7800.0,700.0,27700.0
all_households,lowest_quintile,1997,8400.0,13300.0,21600.0,7500.0,800.0,28300.0
all_households,lowest_quintile,1998,9500.0,13300.0,22800.0,7600.0,800.0,29600.0
all_households,lowest_quintile,1999,10300.0,12900.0,23100.0,7500.0,1000.0,29700.0
all_households,lowest_quintile,2000,10300.0,12700.0,23000.0,7700.0,900.0,29800.0
all_households,lowest_quintile,2001,9300.0,13600.0,22900.0,8200.0,800.0,30300.0
all_households,lowest_quintile,2002,8900.0,14400.0,23200.0,8500.0,700.0,31000.0
all_households,lowest_quintile,2003,8400.0,14600.0,23000.0,8900.0,700.0,31100.0
all_households,lowest_quintile,2004,8600.0,14600.0,23300.0,9100.0,600.0,31800.0
all_households,lowest_quintile,2005,9100.0,14700.0,23800.0,9200.0,700.0,32300.0
all_households,lowest_quintile,2006,9800.0,15600.0,25400.0,9200.0,800.0,33800.0
all_households,lowest_quintile,2007,11200.0,15200.0,26400.0,9200.0,700.0,34900.0
