household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1400.0,400.0,200.0,200.0,500.0
all_households,all_quintiles,1980,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1981,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1982,1500.0,400.0,300.0,200.0,600.0
all_households,all_quintiles,1983,1500.0,500.0,300.0,200.0,600.0
all_households,all_quintiles,1984,1500.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1985,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1986,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1987,1600.0,500.0,200.0,200.0,600.0
all_households,all_quintiles,1988,1600.0,600.0,200.0,200.0,600.0
all_households,all_quintiles,1989,1700.0,600.0,200.0,300.0,600.0
all_households,all_quintiles,1990,1900.0,700.0,300.0,300.0,600.0
all_households,all_quintiles,1991,2100.0,900.0,300.0,300.0,700.0
all_households,all_quintiles,1992,2300.0,1000.0,300.0,300.0,700.0
all_households,all_quintiles,1993,2500.0,1100.0,300.0,400.0,700.0
all_households,all_quintiles,1994,2500.0,1100.0,300.0,400.0,700.0
all_households,all_quintiles,1995,2600.0,1200.0,300.0,400.0,700.0
all_households,all_quintiles,1996,2500.0,1200.0,300.0,400.0,600.0
all_households,all_quintiles,1997,2400.0,1200.0,300.0,400.0,600.0
all_households,all_quintiles,1998,2500.0,1400.0,200.0,400.0,500.0
all_households,all_quintiles,1999,2600.0,1500.0,200.0,400.0,500.0
all_households,all_quintiles,2000,2600.0,1600.0,200.0,400.0,500.0
all_households,all_quintiles,2001,2800.0,1800.0,200.0,400.0,500.0
all_households,all_quintiles,2002,3100.0,2000.0,200.0,400.0,500.0
all_households,all_quintiles,2003,3300.0,2200.0,300.0,400.0,500.0
all_households,all_quintiles,2004,3500.0,2300.0,300.0,400.0,500.0
all_households,all_quintiles,2005,3500.0,2300.0,300.0,400.0,500.0
all_households,all_quintiles,2006,3500.0,2200.0,300.0,400.0,600.0
all_households,all_quintiles,2007,3500.0,2300.0,300.0,400.0,600.0
all_households,all_quintiles,2008,3700.0,2400.0,400.0,400.0,600.0
all_households,all_quintiles,2009,4200.0,2600.0,500.0,400.0,600.0
all_households,all_quintiles,2010,4400.0,2700.0,600.0,400.0,700.0
all_households,all_quintiles,2011,4300.0,2600.0,600.0,400.0,700.0
all_households,all_quintiles,2012,4300.0,2600.0,600.0,400.0,600.0
all_households,all_quintiles,2013,4400.0,2700.0,600.0,500.0,600.0
all_households,all_quintiles,2014,5100.0,3400.0,600.0,400.0,600.0
all_households,all_quintiles,2015,5500.0,3800.0,600.0,400.0,700.0
all_households,all_quintiles,2016,5600.0,3900.0,500.0,400.0,700.0
all_households,lowest_quintile,1979,4400.0,1300.0,800.0,700.0,1600.0
all_households,lowest_quintile,1980,4600.0,1300.0,800.0,700.0,1700.0
all_households,lowest_quintile,1981,4800.0,1400.0,900.0,700.0,1800.0
all_households,lowest_quintile,1982,4900.0,1400.0,900.0,700.0,1900.0
all_households,lowest_quintile,1983,5300.0,1500.0,900.0,700.0,2100.0
all_households,lowest_quintile,1984,4900.0,1500.0,800.0,700.0,2000.0
all_households,lowest_quintile,1985,5300.0,1600.0,800.0,700.0,2100.0
all_households,lowest_quintile,1986,5400.0,1700.0,800.0,800.0,2100.0
all_households,lowest_quintile,1987,5600.0,1900.0,800.0,800.0,2100.0
all_households,lowest_quintile,1988,5800.0,2000.0,800.0,800.0,2200.0
all_households,lowest_quintile,1989,5900.0,2100.0,800.0,800.0,2200.0
all_households,lowest_quintile,1990,6400.0,2400.0,900.0,800.0,2300.0
all_households,lowest_quintile,1991,6900.0,2700.0,1000.0,900.0,2300.0
all_households,lowest_quintile,1992,7500.0,3000.0,1100.0,1100.0,2300.0
all_households,lowest_quintile,1993,7800.0,3200.0,1100.0,1100.0,2400.0
all_households,lowest_quintile,1994,8000.0,3300.0,1100.0,1200.0,2400.0
all_households,lowest_quintile,1995,8000.0,3400.0,1000.0,1200.0,2400.0
all_households,lowest_quintile,1996,7800.0,3400.0,1000.0,1300.0,2200.0
all_households,lowest_quintile,1997,7500.0,3500.0,800.0,1200.0,2000.0
all_households,lowest_quintile,1998,7600.0,3800.0,700.0,1200.0,1900.0
all_households,lowest_quintile,1999,7500.0,4100.0,700.0,1200.0,1600.0
all_households,lowest_quintile,2000,7700.0,4400.0,600.0,1200.0,1600.0
all_households,lowest_quintile,2001,8200.0,4800.0,600.0,1200.0,1500.0
all_households,lowest_quintile,2002,8500.0,5100.0,700.0,1200.0,1600.0
all_households,lowest_quintile,2003,8900.0,5400.0,800.0,1200.0,1600.0
all_households,lowest_quintile,2004,9100.0,5700.0,800.0,1100.0,1500.0
all_households,lowest_quintile,2005,9200.0,5600.0,900.0,1100.0,1600.0
all_households,lowest_quintile,2006,9200.0,5300.0,900.0,1100.0,1900.0
all_households,lowest_quintile,2007,9200.0,5300.0,900.0,1100.0,1800.0
all_households,lowest_quintile,2008,9400.0,5500.0,1000.0,1100.0,1800.0
all_households,lowest_quintile,2009,10500.0,5900.0,1400.0,1200.0,2000.0
all_households,lowest_quintile,2010,10800.0,6000.0,1500.0,1200.0,2000.0
all_households,lowest_quintile,2011,10400.0,5600.0,1600.0,1200.0,2000.0
all_households,lowest_quintile,2012,10500.0,5800.0,1700.0,1200.0,1800.0
all_households,lowest_quintile,2013,10700.0,6100.0,1600.0,1300.0,1800.0
all_households,lowest_quintile,2014,11800.0,7300.0,1500.0,1200.0,1900.0
all_households,lowest_quintile,2015,12000.0,7500.0,1400.0,1200.0,1900.0
all_households,lowest_quintile,2016,12000.0,7500.0,1300.0,1200.0,2000.0
all_households,second_quintile,1979,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1980,1300.0,400.0,300.0,100.0,500.0
all_households,second_quintile,1981,1300.0,400.0,300.0,100.0,500.0
all_households,second_quintile,1982,1200.0,400.0,300.0,100.0,500.0
all_households,second_quintile,1983,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1984,1100.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1985,1000.0,300.0,200.0,100.0,400.0
all_households,second_quintile,1986,1100.0,400.0,200.0,200.0,400.0
all_households,second_quintile,1987,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1988,1000.0,400.0,100.0,200.0,300.0
all_households,second_quintile,1989,1200.0,500.0,100.0,200.0,400.0
all_households,second_quintile,1990,1400.0,600.0,200.0,200.0,400.0
all_households,second_quintile,1991,1700.0,700.0,300.0,200.0,500.0
all_households,second_quintile,1992,2100.0,900.0,400.0,300.0,500.0
all_households,second_quintile,1993,2400.0,1100.0,400.0,300.0,600.0
all_households,second_quintile,1994,2400.0,1100.0,400.0,300.0,600.0
all_households,second_quintile,1995,2400.0,1200.0,300.0,400.0,500.0
all_households,second_quintile,1996,2300.0,1200.0,300.0,300.0,500.0
all_households,second_quintile,1997,2300.0,1200.0,300.0,300.0,500.0
all_households,second_quintile,1998,2600.0,1600.0,200.0,300.0,500.0
all_households,second_quintile,1999,2700.0,1700.0,200.0,300.0,400.0
all_households,second_quintile,2000,2700.0,1800.0,200.0,300.0,400.0
all_households,second_quintile,2001,3000.0,2100.0,200.0,300.0,400.0
all_households,second_quintile,2002,3500.0,2400.0,300.0,300.0,400.0
all_households,second_quintile,2003,3800.0,2700.0,300.0,300.0,500.0
all_households,second_quintile,2004,4200.0,3000.0,400.0,400.0,500.0
all_households,second_quintile,2005,4200.0,3000.0,400.0,300.0,400.0
all_households,second_quintile,2006,4000.0,2800.0,400.0,400.0,500.0
all_households,second_quintile,2007,4100.0,2900.0,400.0,400.0,500.0
all_households,second_quintile,2008,4500.0,3100.0,500.0,400.0,500.0
all_households,second_quintile,2009,5200.0,3500.0,800.0,400.0,600.0
all_households,second_quintile,2010,5600.0,3600.0,900.0,400.0,700.0
all_households,second_quintile,2011,5700.0,3600.0,1000.0,400.0,700.0
all_households,second_quintile,2012,5700.0,3700.0,1000.0,400.0,600.0
all_households,second_quintile,2013,5800.0,3800.0,900.0,400.0,600.0
all_households,second_quintile,2014,6800.0,4800.0,800.0,500.0,700.0
all_households,second_quintile,2015,7600.0,5600.0,800.0,400.0,700.0
