income_group,year,market_income,inc_before_transfers_taxes,inc_after_transfers_taxes
fourth_quintile,1979,72700.0,76800.0,60700.0
fourth_quintile,1980,69800.0,74500.0,58800.0
fourth_quintile,1981,69600.0,74800.0,58600.0
fourth_quintile,1982,68000.0,74000.0,59100.0
fourth_quintile,1983,67600.0,73900.0,59400.0
fourth_quintile,1984,71600.0,77700.0,62400.0
fourth_quintile,1985,71900.0,78200.0,62600.0
fourth_quintile,1986,74200.0,80800.0,64600.0
fourth_quintile,1987,75100.0,81500.0,65300.0
fourth_quintile,1988,75700.0,82100.0,65500.0
fourth_quintile,1989,76400.0,83000.0,66400.0
fourth_quintile,1990,75400.0,82400.0,66000.0
fourth_quintile,1991,73600.0,81200.0,65500.0
fourth_quintile,1992,74000.0,82100.0,66500.0
fourth_quintile,1993,74300.0,82800.0,67200.0
fourth_quintile,1994,75600.0,83600.0,67700.0
fourth_quintile,1995,76800.0,85200.0,69100.0
fourth_quintile,1996,78600.0,87500.0,70800.0
fourth_quintile,1997,80000.0,89000.0,72000.0
fourth_quintile,1998,84200.0,92900.0,75300.0
fourth_quintile,1999,87500.0,96000.0,77600.0
fourth_quintile,2000,88600.0,97300.0,78800.0
fourth_quintile,2001,86800.0,96100.0,79300.0
fourth_quintile,2002,83700.0,93900.0,78700.0
fourth_quintile,2003,85300.0,95500.0,81000.0
fourth_quintile,2004,88000.0,98400.0,83500.0
fourth_quintile,2005,90100.0,100500.0,84700.0
fourth_quintile,2006,90900.0,102200.0,86100.0
fourth_quintile,2007,93300.0,104900.0,88800.0
fourth_quintile,2008,90900.0,103000.0,89200.0
fourth_quintile,2009,85900.0,99900.0,87900.0
fourth_quintile,2010,84100.0,98700.0,86800.0
fourth_quintile,2011,85500.0,99300.0,87100.0
fourth_quintile,2012,85700.0,100000.0,87300.0
fourth_quintile,2013,88100.0,102300.0,87600.0
fourth_quintile,2014,90500.0,104500.0,89700.0
fourth_quintile,2015,93900.0,108400.0,93200.0
fourth_quintile,2016,93400.0,108400.0,93500.0
