income_group,year,market_income,inc_before_transfers_taxes,inc_after_transfers_taxes
highest_quintile,1979,143300.0,147500.0,108500.0
highest_quintile,1980,138100.0,142900.0,105500.0
highest_quintile,1981,136500.0,142000.0,105400.0
highest_quintile,1982,136300.0,142700.0,109300.0
highest_quintile,1983,141000.0,147500.0,113800.0
highest_quintile,1984,153400.0,160100.0,123200.0
highest_quintile,1985,155000.0,161800.0,124600.0
highest_quintile,1986,174800.0,181500.0,140100.0
highest_quintile,1987,166400.0,172200.0,129100.0
highest_quintile,1988,178400.0,184400.0,138700.0
highest_quintile,1989,176900.0,183400.0,138600.0
highest_quintile,1990,171800.0,178500.0,135300.0
highest_quintile,1991,165900.0,173000.0,130800.0
highest_quintile,1992,172900.0,180200.0,135900.0
highest_quintile,1993,172200.0,180100.0,133900.0
highest_quintile,1994,176400.0,184400.0,136000.0
highest_quintile,1995,184900.0,193100.0,141600.0
highest_quintile,1996,195000.0,203800.0,148900.0
highest_quintile,1997,207800.0,216900.0,158400.0
highest_quintile,1998,223700.0,232500.0,170500.0
highest_quintile,1999,239700.0,247700.0,180400.0
highest_quintile,2000,251400.0,259900.0,189500.0
highest_quintile,2001,228000.0,236600.0,175400.0
highest_quintile,2002,216500.0,225300.0,168900.0
highest_quintile,2003,225000.0,233600.0,177500.0
highest_quintile,2004,245300.0,254200.0,192400.0
highest_quintile,2005,265900.0,275500.0,207200.0
highest_quintile,2006,277400.0,287800.0,216300.0
highest_quintile,2007,287600.0,298700.0,226900.0
highest_quintile,2008,259200.0,270100.0,208200.0
highest_quintile,2009,230600.0,243700.0,189700.0
highest_quintile,2010,243100.0,255700.0,196900.0
highest_quintile,2011,246300.0,258300.0,199700.0
highest_quintile,2012,266400.0,278900.0,214200.0
highest_quintile,2013,255400.0,268600.0,200400.0
highest_quintile,2014,270400.0,283900.0,210900.0
highest_quintile,2015,279800.0,293500.0,218200.0
highest_quintile,2016,276700.0,290400.0,216400.0
