income_group,year,market_income,inc_before_transfers_taxes,inc_after_transfers_taxes
lowest_quintile,1979,12400.0,17000.0,18200.0
lowest_quintile,1980,12500.0,16800.0,18000.0
lowest_quintile,1981,12700.0,16600.0,17800.0
lowest_quintile,1982,12500.0,16100.0,17600.0
lowest_quintile,1983,12600.0,15700.0,17100.0
lowest_quintile,1984,13400.0,16500.0,17500.0
lowest_quintile,1985,13600.0,16600.0,17800.0
lowest_quintile,1986,13600.0,16500.0,17800.0
lowest_quintile,1987,12800.0,15900.0,17800.0
lowest_quintile,1988,13400.0,16500.0,18200.0
lowest_quintile,1989,14200.0,17400.0,19000.0
lowest_quintile,1990,15000.0,18200.0,19700.0
lowest_quintile,1991,15400.0,18600.0,20200.0
lowest_quintile,1992,15700.0,19000.0,20400.0
lowest_quintile,1993,16000.0,19200.0,20800.0
lowest_quintile,1994,15900.0,19200.0,21100.0
lowest_quintile,1995,17300.0,20500.0,22100.0
lowest_quintile,1996,17500.0,20500.0,21800.0
lowest_quintile,1997,18300.0,21500.0,22100.0
lowest_quintile,1998,19400.0,22500.0,23400.0
lowest_quintile,1999,19600.0,23100.0,23800.0
lowest_quintile,2000,19400.0,22900.0,23900.0
lowest_quintile,2001,18600.0,22500.0,24100.0
lowest_quintile,2002,18800.0,22600.0,24200.0
lowest_quintile,2003,18100.0,22100.0,24100.0
lowest_quintile,2004,18400.0,22400.0,24500.0
lowest_quintile,2005,19100.0,23000.0,25100.0
lowest_quintile,2006,20500.0,23800.0,26000.0
lowest_quintile,2007,21500.0,25100.0,27300.0
lowest_quintile,2008,20600.0,24600.0,27900.0
lowest_quintile,2009,19700.0,24000.0,27900.0
lowest_quintile,2010,19600.0,23800.0,27800.0
lowest_quintile,2011,19400.0,23800.0,27700.0
lowest_quintile,2012,18800.0,22800.0,27100.0
lowest_quintile,2013,19900.0,23800.0,27700.0
lowest_quintile,2014,19700.0,23800.0,28300.0
lowest_quintile,2015,20300.0,24900.0,29800.0
lowest_quintile,2016,20400.0,25200.0,30000.0
