income_group,year,market_income,inc_before_transfers_taxes,inc_after_transfers_taxes
second_quintile,1979,31000.0,36600.0,32900.0
second_quintile,1980,28400.0,34500.0,31600.0
second_quintile,1981,28400.0,34500.0,31400.0
second_quintile,1982,27200.0,33800.0,31200.0
second_quintile,1983,26500.0,33000.0,30700.0
second_quintile,1984,28500.0,34900.0,31900.0
second_quintile,1985,28200.0,34600.0,31800.0
second_quintile,1986,28500.0,35200.0,32300.0
second_quintile,1987,27500.0,34200.0,31400.0
second_quintile,1988,28100.0,34900.0,32000.0
second_quintile,1989,28700.0,35400.0,32800.0
second_quintile,1990,29800.0,36500.0,33700.0
second_quintile,1991,29100.0,35900.0,33800.0
second_quintile,1992,29100.0,36000.0,34500.0
second_quintile,1993,29100.0,36300.0,35000.0
second_quintile,1994,29300.0,36600.0,35200.0
second_quintile,1995,31300.0,38600.0,37000.0
second_quintile,1996,31500.0,38600.0,37100.0
second_quintile,1997,33200.0,40200.0,38400.0
second_quintile,1998,34700.0,41800.0,40200.0
second_quintile,1999,36200.0,43200.0,41400.0
second_quintile,2000,36600.0,43300.0,41400.0
second_quintile,2001,35800.0,43200.0,42300.0
second_quintile,2002,34900.0,42600.0,42200.0
second_quintile,2003,34500.0,42500.0,42600.0
second_quintile,2004,36100.0,44000.0,44000.0
second_quintile,2005,36200.0,44100.0,44500.0
second_quintile,2006,37200.0,45100.0,44900.0
second_quintile,2007,39600.0,47300.0,46800.0
second_quintile,2008,37800.0,45900.0,47400.0
second_quintile,2009,36100.0,45300.0,47500.0
second_quintile,2010,35800.0,44800.0,47300.0
second_quintile,2011,35400.0,44400.0,47000.0
second_quintile,2012,35300.0,44200.0,46500.0
second_quintile,2013,36100.0,44900.0,46700.0
second_quintile,2014,36400.0,45100.0,47900.0
second_quintile,2015,38000.0,47000.0,50200.0
second_quintile,2016,38700.0,47800.0,50700.0
